375 ops
op@757    elf=  48 (   8192B)  a3 OUT* 1048576 pre=65d84ec6 post=5a7cd762 | a4 in 1048576 pre=966d7db6 | a5 in 536870912 pre=836fd8e4
op@770    elf=  49 (   5200B)  a3 OUT* 1048576 pre=db62ece7 post=0121debd | a4 in 1048576 pre=8117b88d | a5 in 536870912 pre=836fd8e4
op@783    elf=  50 (   8192B)  a3 OUT* 1048576 pre=5a7cd762 post=b70b83e3 | a4 in 1048576 pre=892ef769 | a5 in 536870912 pre=836fd8e4
op@796    elf=  51 (   5200B)  a3 OUT* 1048576 pre=0121debd post=6bf883f3 | a4 in 1048576 pre=82facc09 | a5 in 536870912 pre=836fd8e4
op@809    elf=  52 (   8192B)  a3 OUT* 1048576 pre=b70b83e3 post=ac63f7d6 | a4 in 1048576 pre=72e64559 | a5 in 536870912 pre=836fd8e4
op@822    elf=  53 (   5200B)  a3 OUT* 1048576 pre=6bf883f3 post=5ad9bfce | a4 in 1048576 pre=934cc023 | a5 in 536870912 pre=836fd8e4
op@835    elf=  54 (   8192B)  a3 OUT* 1048576 pre=ac63f7d6 post=24a4adcb | a4 in 1048576 pre=a95c0017 | a5 in 536870912 pre=836fd8e4
op@848    elf=  55 (   5200B)  a3 OUT* 1048576 pre=5ad9bfce post=357f5c7e | a4 in 1048576 pre=c95f00ae | a5 in 536870912 pre=836fd8e4
op@861    elf=  56 (   8192B)  a3 OUT* 1048576 pre=24a4adcb post=8549da49 | a4 in 1048576 pre=b0e8b3e3 | a5 in 536870912 pre=836fd8e4
op@874    elf=  57 (   5200B)  a3 OUT* 1048576 pre=357f5c7e post=692c228d | a4 in 1048576 pre=beb5397d | a5 in 536870912 pre=836fd8e4
op@887    elf=  58 (   8192B)  a3 OUT* 1048576 pre=8549da49 post=bae0ec56 | a4 in 1048576 pre=38c8c6c0 | a5 in 536870912 pre=836fd8e4
op@900    elf=  59 (   5200B)  a3 OUT* 1048576 pre=692c228d post=a31bd20a | a4 in 1048576 pre=4a0bae1d | a5 in 536870912 pre=836fd8e4
op@913    elf=  60 (   8192B)  a3 OUT* 1048576 pre=bae0ec56 post=424d667a | a4 in 1048576 pre=53872ee2 | a5 in 536870912 pre=836fd8e4
op@926    elf=  61 (   5200B)  a3 OUT* 1048576 pre=a31bd20a post=a7ef9ada | a4 in 1048576 pre=8117b88d | a5 in 536870912 pre=836fd8e4
op@939    elf=  62 (   8192B)  a3 OUT* 1048576 pre=424d667a post=3b08d6d0 | a4 in 1048576 pre=e79df350 | a5 in 536870912 pre=836fd8e4
op@952    elf=  63 (   5200B)  a3 OUT* 1048576 pre=a7ef9ada post=615443ea | a4 in 1048576 pre=b66feb65 | a5 in 536870912 pre=836fd8e4
op@965    elf=  64 (   8192B)  a3 OUT* 1048576 pre=3b08d6d0 post=80ea70cf | a4 in 1048576 pre=d25f42d8 | a5 in 536870912 pre=836fd8e4
op@978    elf=  65 (   5200B)  a3 OUT* 1048576 pre=615443ea post=b3a85d29 | a4 in 1048576 pre=f60515ed | a5 in 536870912 pre=836fd8e4
op@991    elf=  66 (   8192B)  a3 OUT* 1048576 pre=80ea70cf post=1be6b8ca | a4 in 1048576 pre=113972d6 | a5 in 536870912 pre=836fd8e4
op@1004   elf=  67 (   5200B)  a3 OUT* 1048576 pre=b3a85d29 post=1e4fa693 | a4 in 1048576 pre=b66feb65 | a5 in 536870912 pre=836fd8e4
op@1017   elf=  68 (   8192B)  a3 OUT* 1048576 pre=1be6b8ca post=58a3b961 | a4 in 1048576 pre=bef4f1c6 | a5 in 536870912 pre=836fd8e4
op@1030   elf=  69 (   5200B)  a3 OUT* 1048576 pre=1e4fa693 post=03c40343 | a4 in 1048576 pre=27bcee1f | a5 in 536870912 pre=836fd8e4
op@1043   elf=  70 (   8192B)  a3 OUT* 1048576 pre=58a3b961 post=006593d7 | a4 in 1048576 pre=d6bc2d9e | a5 in 536870912 pre=836fd8e4
op@1056   elf=  71 (   5200B)  a3 OUT* 1048576 pre=03c40343 post=f5018b87 | a4 in 1048576 pre=002aca7f | a5 in 536870912 pre=836fd8e4
op@1069   elf=  72 (   8192B)  a3 OUT* 1048576 pre=006593d7 post=c9fd726b | a4 in 1048576 pre=43618560 | a5 in 536870912 pre=836fd8e4
op@1082   elf=  73 (   5200B)  a3 OUT* 1048576 pre=f5018b87 post=eaa607e3 | a4 in 1048576 pre=f64ea1a7 | a5 in 536870912 pre=836fd8e4
op@1095   elf=  74 (   8192B)  a3 OUT* 1048576 pre=c9fd726b post=5a26c885 | a4 in 1048576 pre=236c4ad1 | a5 in 536870912 pre=836fd8e4
op@1108   elf=  75 (   5200B)  a3 OUT* 1048576 pre=eaa607e3 post=04dfdcf0 | a4 in 1048576 pre=27bcee1f | a5 in 536870912 pre=836fd8e4
op@1121   elf=  76 (   8192B)  a3 OUT* 1048576 pre=5a26c885 post=699a015a | a4 in 1048576 pre=cd6bc94c | a5 in 536870912 pre=836fd8e4
op@1134   elf=  77 (   5200B)  a3 OUT* 1048576 pre=04dfdcf0 post=b4a82b77 | a4 in 1048576 pre=002aca7f | a5 in 536870912 pre=836fd8e4
op@1147   elf=  78 (   8192B)  a3 OUT* 1048576 pre=699a015a post=c42c5b98 | a4 in 1048576 pre=a8024969 | a5 in 536870912 pre=836fd8e4
op@1160   elf=  79 (   5200B)  a3 OUT* 1048576 pre=b4a82b77 post=ce0a4d13 | a4 in 1048576 pre=af4ff64f | a5 in 536870912 pre=836fd8e4
op@1173   elf=  80 (   8192B)  a3 OUT* 1048576 pre=c42c5b98 post=dbc11963 | a4 in 1048576 pre=9556bf1a | a5 in 536870912 pre=836fd8e4
op@1186   elf=  81 (   5200B)  a3 OUT* 1048576 pre=ce0a4d13 post=a2589207 | a4 in 1048576 pre=4b643c83 | a5 in 536870912 pre=836fd8e4
op@1199   elf=  82 (   8192B)  a3 OUT* 1048576 pre=dbc11963 post=92183da0 | a4 in 1048576 pre=11fd37cd | a5 in 536870912 pre=836fd8e4
op@1212   elf=  83 (   5200B)  a3 OUT* 1048576 pre=a2589207 post=68ebb497 | a4 in 1048576 pre=05716826 | a5 in 536870912 pre=836fd8e4
op@1225   elf=  84 (   8192B)  a3 OUT* 1048576 pre=92183da0 post=2c239a46 | a4 in 1048576 pre=73e426f2 | a5 in 536870912 pre=836fd8e4
op@1238   elf=  85 (   5200B)  a3 OUT* 1048576 pre=68ebb497 post=41087667 | a4 in 1048576 pre=a24571c5 | a5 in 536870912 pre=836fd8e4
